source,target,lag
CLDN7,EPX,0
DYSF,PGLYRP1,0
ISG15,IFIT2,0
OLFM4,CHRNE,0
PML,AHDC1,0
TRPM2,CST7,0
ADAMDEC1,MMP8,1
ADAMDEC1,OLFM4,1
CABLES2,APOL6,1
CABLES2,C1QA,1
DDB1,MT-ND2,1
DDB1,TP53I11,1
FBXO39,DENND5B,1
LANCL3,ADGRG3,1
NBL1,ADGRG3,1
NBL1,LANCL3,1
NBL1,VNN1,1
NTRK1,YES1,1
PRSS33,GBP3,1
RORA,ISG15,1
RORA,OASL,1
RORA,PLCD3,1
RORA,RIGI,1
RORA,TRIM14,1
RSAD2,CLNK,1
TRDC,RSAD2,1
ZNF423,MCEMP1,1
ADAMTS14,AREG,2
ADAMTS14,DDB1,2
AREG,CTLA4,2
AREG,NR2E1,2
ARHGEF10,RNF182,2
BEX2,FBXO39,2
CLC,COL11A1,2
CXCL6,ATP9A,2
DENND5B,ATP9A,2
FAM167B,CSGALNACT1,2
FAM185A,SLC16A1,2
GBP7,MMP1,2
GLI1,PGLYRP1,2
GPR15,LEPR,2
IL18RAP,IGHM,2
LANCL3,PRSS33,2
NBL1,FZD4,2
NBL1,IL18RAP,2
ORM1,ALPL,2
PAK3,CSGALNACT1,2
RORA,ADAMTS14,2
RORA,NR2E1,2
TRDC,RSAD2,2
