source,target,lag
ADAMDEC1,C1QA,0
ADGRG3,CRISPLD2,0
ADGRG3,IL18R1,0
ADGRG3,KCNH7,0
ADGRG3,ORM1,0
AHDC1,CABLES2,0
APOL2,EPX,0
APOL2,GBP7,0
AREG,SIK1,0
ARHGEF10,BEX2,0
ATP9A,FLT1,0
BCL2L14,FBLN2,0
BCL2L14,SPP1,0
BEX2,ARHGEF10,0
BMX,LYPD8,0
C1QA,CCR4,0
C1QA,CDKN1C,0
C1QA,CLDN7,0
C1QA,DENND5B,0
C1QA,HMGN3,0
C1QA,LAPTM4B,0
CCR3,CPA3,0
CCR3,GBP3,0
CCR3,SPDYA,0
CDKN1C,ARHGEF10,0
CDKN1C,IGHM,0
CHRNE,ANPEP,0
CLC,ZFPM2,0
CLDN7,EPX,0
CLDN7,KCNMA1,0
CLNK,PAK3,0
CLTCL1,CXCL6,0
COL11A1,CLNK,0
COL11A1,GZMB,0
CPA3,CCR3,0
CRISPLD2,MMP9,0
CRISPLD2,PGLYRP1,0
CRISPLD2,RNU6-1188P,0
CSGALNACT1,FIGLA,0
CSGALNACT1,MMP1,0
CST7,MMP8,0
CST7,MMP9,0
CST7,PLAU,0
CST7,TRPM2,0
CTLA4,AREG,0
CTLA4,EREG,0
CTLA4,NTRK1,0
DDX60,MX1,0
DDX60,MX2,0
DDX60,PCDH1,0
DDX60,XAF1,0
DENND5B,GPR15,0
DHX58,IRF7,0
DHX58,PML,0
DSCC1,FAM185A,0
DSCC1,ZFPM2,0
DYSF,OLFM4,0
DYSF,PGLYRP1,0
DYSF,TRPM2,0
EIF2AK2,OAS2,0
EIF2AK2,RNF213,0
EIF2AK2,TRIM14,0
ENTPD3,ATP9A,0
EQTN,BEX2,0
EREG,AREG,0
FADS3,EQTN,0
FADS3,NR6A1,0
FADS3,YEATS4,0
FAM167B,PRSS33,0
FAM185A,CTLA4,0
FAM185A,NTRK1,0
FAM216B,FBXO39,0
FAM216B,NGFR,0
FAM216B,TMPRSS2,0
FBLN2,CYP4F22,0
FGFBP2,TRDC,0
FIGLA,CYP4F22,0
FLT1,JCHAIN,0
