source,target,lag,count_runs,freq
DENND5B,ATP9A,2,9,0.9
RORA,ISG15,1,9,0.9
RORA,OASL,1,8,0.8
CLDN7,EPX,0,8,0.8
RORA,PLCD3,1,8,0.8
FAM167B,CSGALNACT1,2,8,0.8
DDB1,MT-ND2,1,8,0.8
RSAD2,CLNK,1,8,0.8
FBXO39,DENND5B,1,8,0.8
ADAMDEC1,MMP8,1,8,0.8
AREG,NR2E1,2,8,0.8
NBL1,ADGRG3,1,8,0.8
PAK3,CSGALNACT1,2,7,0.7
GPR15,LEPR,2,7,0.7
RORA,TRIM14,1,7,0.7
LANCL3,ADGRG3,1,7,0.7
CABLES2,C1QA,1,7,0.7
ORM1,ALPL,2,7,0.7
FAM185A,SLC16A1,2,7,0.7
RORA,RIGI,1,7,0.7
CLC,COL11A1,2,7,0.7
ADAMDEC1,OLFM4,1,7,0.7
DDB1,TP53I11,1,7,0.7
NBL1,VNN1,1,7,0.7
NBL1,IL18RAP,2,7,0.7
ADAMTS14,AREG,2,7,0.7
OLFM4,CHRNE,0,7,0.7
RORA,NR2E1,2,7,0.7
TRDC,RSAD2,2,7,0.7
LANCL3,PRSS33,2,7,0.7
AREG,CTLA4,2,7,0.7
TRDC,RSAD2,1,7,0.7
NTRK1,YES1,1,7,0.7
ADAMTS14,DDB1,2,7,0.7
CABLES2,APOL6,1,7,0.7
BEX2,FBXO39,2,7,0.7
NBL1,LANCL3,1,7,0.7
PRSS33,GBP3,1,7,0.7
DYSF,PGLYRP1,0,7,0.7
ARHGEF10,RNF182,2,7,0.7
TRPM2,CST7,0,7,0.7
GBP7,MMP1,2,7,0.7
GLI1,PGLYRP1,2,7,0.7
IL18RAP,IGHM,2,7,0.7
ZNF423,MCEMP1,1,7,0.7
PML,AHDC1,0,7,0.7
ISG15,IFIT2,0,7,0.7
RORA,ADAMTS14,2,7,0.7
NBL1,FZD4,2,7,0.7
CXCL6,ATP9A,2,7,0.7
ALPL,BEX2,1,6,0.6
FAM185A,FOSB,2,6,0.6
GPR15,ADAMDEC1,2,6,0.6
S100A8,S100A9,0,6,0.6
ISG15,MX1,0,6,0.6
BEX2,YEATS4,2,6,0.6
BEX2,CHRNE,2,6,0.6
AREG,PRSS33,2,6,0.6
AREG,NTRK1,2,6,0.6
OASL,XAF1,0,6,0.6
LGALS3BP,VNN2,1,6,0.6
ADAMTS14,GLI1,2,6,0.6
NGFR,FADS3,1,6,0.6
LGALS3BP,FAM167B,2,6,0.6
RORA,EIF2AK2,1,6,0.6
CXCL6,NR2E1,2,6,0.6
BEX2,USP18,2,6,0.6
HSH2D,TRIM6,0,6,0.6
SLC16A1,CTLA4,1,6,0.6
FAM167B,IRF7,2,6,0.6
DDB1,DSCC1,1,6,0.6
NBL1,ENTPD3,1,6,0.6
ISG15,DDX60,0,6,0.6
RORA,KCTD14,1,6,0.6
BEX2,OASL,2,6,0.6
NBL1,PDZD4,2,6,0.6
RNF182,GLI1,0,6,0.6
IFI27,XAF1,0,6,0.6
FAM185A,GBP7,2,6,0.6
LANCL3,MMP10,1,6,0.6
